DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fraction seropositive
COLOR	#800026
COLOR_MIN	#ffffcc
COLOR_MAX	#800026
FIELD_LABELS	frac_seropositive
STRIP_WIDTH	60
MARGIN	15
SHOW_LABELS	1
LEGEND_TITLE	Fraction seropositive
LEGEND_SHAPES	1
LEGEND_COLORS	#ffffcc,#800026
LEGEND_LABELS	0,1
DATA
Arenaviridae	0.8917
Antennavirus	0.0000
Antennavirus_hirsutum	0.0000
Antennavirus_salmonis	0.0000
Antennavirus_striale	0.0000
Antennavirus_trematomi	0.0000
Hartmanivirus	0.0202
Hartmanivirus_brazilense	0.0000
Hartmanivirus_haartmani	0.0151
Hartmanivirus_helvetiae	0.0050
Hartmanivirus_patriae	0.0000
Hartmanivirus_quadrati	0.0025
Hartmanivirus_scholae	0.0000
Hartmanivirus_turici	0.0202
Hartmanivirus_unni	0.0000
Innmovirus	0.0076
Innmovirus_hailarense	0.0076
Mammarenavirus	0.8917
Mammarenavirus_abaense	0.0000
Mammarenavirus_alashanense	0.0000
Mammarenavirus_allpahuayoense	0.0000
Mammarenavirus_amapariense	0.0000
Mammarenavirus_aporeense	0.0000
Mammarenavirus_batangense	0.0000
Mammarenavirus_bearense	0.0025
Mammarenavirus_beregaense	0.0000
Mammarenavirus_bituense	0.0000
Mammarenavirus_brazilense	0.0000
Mammarenavirus_caliense	0.0000
Mammarenavirus_cameroonense	0.0000
Mammarenavirus_chapareense	0.0050
Mammarenavirus_choriomeningitidis	0.2922
Mammarenavirus_cupixiense	0.0000
Mammarenavirus_dhati-welelense	0.0000
Mammarenavirus_flexalense	0.0000
Mammarenavirus_gairoense	0.0000
Mammarenavirus_ganziense	0.0000
Mammarenavirus_guanaritoense	0.0000
Mammarenavirus_ippyense	0.0000
Mammarenavirus_juninense	0.0025
Mammarenavirus_kitaleense	0.0000
Mammarenavirus_kwanzaense	0.0126
Mammarenavirus_lassaense	0.8917
Mammarenavirus_latinum	0.0000
Mammarenavirus_lijiangense	0.0000
Mammarenavirus_loeiense	0.0000
Mammarenavirus_lujoense	0.0000
Mammarenavirus_lunaense	0.1335
Mammarenavirus_lunkense	0.0126
Mammarenavirus_machupoense	0.0000
Mammarenavirus_mafigaense	0.0000
Mammarenavirus_marientalense	0.0327
Mammarenavirus_mecsekense	0.0000
Mammarenavirus_merinoense	0.0000
Mammarenavirus_mopeiaense	0.0403
Mammarenavirus_ngerengerense	0.0000
Mammarenavirus_okahandjaense	0.0000
Mammarenavirus_oliverosense	0.0000
Mammarenavirus_paranaense	0.0000
Mammarenavirus_piritalense	0.0000
Mammarenavirus_praomyidis	0.0000
Mammarenavirus_ryukyuense	0.0000
Mammarenavirus_solweziense	0.0000
Mammarenavirus_songeaense	0.0000
Mammarenavirus_tacaribeense	0.0000
Mammarenavirus_tamiamiense	0.0151
Mammarenavirus_tietense	0.0000
Mammarenavirus_vello	0.0000
Mammarenavirus_wenzhouense	0.0453
Mammarenavirus_whitewaterense	0.1058
Mammarenavirus_xapuriense	0.0000
Reptarenavirus	0.0000
Reptarenavirus_aurei	0.0000
Reptarenavirus_californiae	0.0000
Reptarenavirus_commune	0.0000
Reptarenavirus_giessenae	0.0000
Reptarenavirus_rotterdamense	0.0000
