DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fraction seropositive
COLOR	#800026
COLOR_MIN	#ffffcc
COLOR_MAX	#800026
FIELD_LABELS	frac_seropositive
STRIP_WIDTH	60
MARGIN	15
SHOW_LABELS	1
LEGEND_TITLE	Fraction seropositive
LEGEND_SHAPES	1
LEGEND_COLORS	#ffffcc,#800026
LEGEND_LABELS	0,1
DATA
Flaviviridae	0.5214
Guaicovirus	0.0000
Guaicovirus_culicis	0.0000
Jingmenvirus	0.0000
Jingmenvirus_rhipicephali	0.0000
Orthoflavivirus	0.5214
Orthoflavivirus_aphei	0.0000
Orthoflavivirus_apoiense	0.0000
Orthoflavivirus_aroaense	0.0000
Orthoflavivirus_bagazaense	0.0000
Orthoflavivirus_banziense	0.0000
Orthoflavivirus_boubouiense	0.0000
Orthoflavivirus_bravoense	0.0000
Orthoflavivirus_bukalasaense	0.0000
Orthoflavivirus_cacipacoreense	0.0000
Orthoflavivirus_careyense	0.0000
Orthoflavivirus_cowboneense	0.0000
Orthoflavivirus_dakarense	0.0000
Orthoflavivirus_denguei	0.5214
Orthoflavivirus_edgehillense	0.0000
Orthoflavivirus_entebbeense	0.0000
Orthoflavivirus_flavi	0.0025
Orthoflavivirus_gadgetsense	0.0000
Orthoflavivirus_ilheusense	0.0000
Orthoflavivirus_israelense	0.0000
Orthoflavivirus_japonicum	0.0000
Orthoflavivirus_jugraense	0.0000
Orthoflavivirus_jutiapaense	0.0000
Orthoflavivirus_kadamense	0.0000
Orthoflavivirus_kedougouense	0.0000
Orthoflavivirus_kokoberaorum	0.0000
Orthoflavivirus_koutangoense	0.0000
Orthoflavivirus_kyasanurense	0.0000
Orthoflavivirus_langatense	0.0000
Orthoflavivirus_louisense	0.0000
Orthoflavivirus_loupingi	0.0000
Orthoflavivirus_meabanense	0.0000
Orthoflavivirus_mediterranense	0.0000
Orthoflavivirus_modocense	0.0000
Orthoflavivirus_montanaense	0.0000
Orthoflavivirus_murrayense	0.0000
Orthoflavivirus_neudoerflense	0.0000
Orthoflavivirus_nilense	0.0000
Orthoflavivirus_ntayaense	0.0000
Orthoflavivirus_omskense	0.0000
Orthoflavivirus_perlitaense	0.0000
Orthoflavivirus_phnompenhense	0.0000
Orthoflavivirus_powassanense	0.0000
Orthoflavivirus_royalense	0.0000
Orthoflavivirus_saboyaense	0.0000
Orthoflavivirus_saumarezense	0.0000
Orthoflavivirus_sepikense	0.0000
Orthoflavivirus_tembusu	0.0000
Orthoflavivirus_tyuleniyense	0.0000
Orthoflavivirus_ugandaense	0.0000
Orthoflavivirus_usutuense	0.0000
Orthoflavivirus_viejaense	0.0000
Orthoflavivirus_wesselsbronense	0.0000
Orthoflavivirus_yaoundeense	0.0000
Orthoflavivirus_yokoseense	0.0000
Orthoflavivirus_zikaense	0.0529
Orthoflavivirus_zilberi	0.0000
Orthoflavivirus_iunctionis	0.0000
Tamanavirus	0.0000
Tamanavirus_parnelli	0.0000
Termitovirus	0.0000
Termitovirus_isopterae	0.0000
