DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fraction seropositive
COLOR	#800026
COLOR_MIN	#ffffcc
COLOR_MAX	#800026
FIELD_LABELS	frac_seropositive
STRIP_WIDTH	60
MARGIN	15
SHOW_LABELS	1
LEGEND_TITLE	Fraction seropositive
LEGEND_SHAPES	1
LEGEND_COLORS	#ffffcc,#800026
LEGEND_LABELS	0,1
DATA
Hantaviridae	0.0126
Actinovirus	0.0025
Actinovirus_bernense	0.0025
Actinovirus_halieutaeae	0.0000
Actinovirus_triacanthodis	0.0000
Percilovirus	0.0000
Percilovirus_gobii	0.0000
Percilovirus_lophii	0.0000
Agnathovirus	0.0000
Agnathovirus_eptatreti	0.0000
Loanvirus	0.0000
Loanvirus_brunaense	0.0000
Loanvirus_longquanense	0.0000
Mobatvirus	0.0126
Mobatvirus_dakrongense	0.0000
Mobatvirus_laibinense	0.0000
Mobatvirus_lenaense	0.0000
Mobatvirus_novaense	0.0000
Mobatvirus_quezonense	0.0126
Mobatvirus_robinaense	0.0000
Mobatvirus_xuansonense	0.0000
Orthohantavirus	0.0101
Orthohantavirus_andesense	0.0000
Orthohantavirus_artybashense	0.0000
Orthohantavirus_asamaense	0.0000
Orthohantavirus_asikkalaense	0.0000
Orthohantavirus_bayoui	0.0000
Orthohantavirus_boweense	0.0000
Orthohantavirus_brugesense	0.0000
Orthohantavirus_caobangense	0.0000
Orthohantavirus_carrizalense	0.0000
Orthohantavirus_chocloense	0.0000
Orthohantavirus_dabieshanense	0.0000
Orthohantavirus_delgaditoense	0.0000
Orthohantavirus_dobravaense	0.0000
Orthohantavirus_fugongense	0.0000
Orthohantavirus_hantanense	0.0000
Orthohantavirus_jejuense	0.0000
Orthohantavirus_kenkemeense	0.0000
Orthohantavirus_khabarovskense	0.0000
Orthohantavirus_lankaense	0.0000
Orthohantavirus_luxiense	0.0000
Orthohantavirus_mamorense	0.0000
Orthohantavirus_maporalense	0.0000
Orthohantavirus_montanoense	0.0000
Orthohantavirus_nigrorivense	0.0000
Orthohantavirus_ozarkense	0.0000
Orthohantavirus_prospectense	0.0000
Orthohantavirus_puumalaense	0.0000
Orthohantavirus_rockportense	0.0000
Orthohantavirus_sagercreekense	0.0000
Orthohantavirus_sangassouense	0.0000
Orthohantavirus_seoulense	0.0101
Orthohantavirus_sinnombreense	0.0000
Orthohantavirus_tatenalense	0.0000
Orthohantavirus_thailandense	0.0000
Orthohantavirus_tigrayense	0.0000
Orthohantavirus_tulaense	0.0000
Orthohantavirus_wufangense	0.0000
Thottimvirus	0.0076
Thottimvirus_imjinense	0.0076
Thottimvirus_thottapalayamense	0.0000
Reptillovirus	0.0000
Reptillovirus_hemidactyli	0.0000
