DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fraction seropositive
COLOR	#800026
COLOR_MIN	#ffffcc
COLOR_MAX	#800026
FIELD_LABELS	frac_seropositive
STRIP_WIDTH	60
MARGIN	15
SHOW_LABELS	1
LEGEND_TITLE	Fraction seropositive
LEGEND_SHAPES	1
LEGEND_COLORS	#ffffcc,#800026
LEGEND_LABELS	0,1
DATA
Nairoviridae	0.6423
Norwavirus	0.0000
Norwavirus_beijiense	0.0000
Norwavirus_grotenhoutense	0.0000
Ocetevirus	0.0302
Ocetevirus_paratemnopterygis	0.0302
Orthonairovirus	0.6423
Orthonairovirus_abuhammadense	0.0000
Orthonairovirus_abuminaense	0.0000
Orthonairovirus_amblyommae	0.0000
Orthonairovirus_antuense	0.0000
Orthonairovirus_artashatense	0.0000
Orthonairovirus_australiaense	0.0050
Orthonairovirus_avalonense	0.0025
Orthonairovirus_bandiaense	0.0000
Orthonairovirus_buranaense	0.0000
Orthonairovirus_bushkeyense	0.0907
Orthonairovirus_chimense	0.0000
Orthonairovirus_clomorense	0.0000
Orthonairovirus_crocidurae	0.0000
Orthonairovirus_dermacentoris	0.0000
Orthonairovirus_dugbeense	0.0000
Orthonairovirus_erveense	0.1385
Orthonairovirus_esteroense	0.0025
Orthonairovirus_gossasense	0.0101
Orthonairovirus_gubboense	0.0101
Orthonairovirus_haemorrhagiae	0.6423
Orthonairovirus_hazaraense	0.0000
Orthonairovirus_huangpiense	0.0000
Orthonairovirus_issykkulense	0.0000
Orthonairovirus_japonicum	0.0025
Orthonairovirus_kasokeroense	0.0000
Orthonairovirus_keterehense	0.0000
Orthonairovirus_khani	0.0000
Orthonairovirus_lambarenense	0.0000
Orthonairovirus_lusakaense	0.0252
Orthonairovirus_macquariense	0.0302
Orthonairovirus_manidae	0.0025
Orthonairovirus_meihuashanense	0.0050
Orthonairovirus_meramense	0.0252
Orthonairovirus_nairobiense	0.1008
Orthonairovirus_parahaemorrhagiae	0.0126
Orthonairovirus_peruense	0.0025
Orthonairovirus_qalyubense	0.0076
Orthonairovirus_randallense	0.0000
Orthonairovirus_sakhalinense	0.0504
Orthonairovirus_sinense	0.0000
Orthonairovirus_soldadoense	0.0101
Orthonairovirus_songlingense	0.0202
Orthonairovirus_sulinaense	0.0000
Orthonairovirus_sunci	0.0000
Orthonairovirus_tachengense	0.0025
Orthonairovirus_thiaforaense	0.0202
Orthonairovirus_tomdiense	0.0000
Orthonairovirus_tunisense	0.0000
Orthonairovirus_wenzhouense	0.0000
Orthonairovirus_yezoense	0.0000
Orthonairovirus_yogueense	0.0000
Orthonairovirus_zirkuense	0.0076
Sabavirus	0.0000
Sabavirus_americanum	0.0000
Shaspivirus	0.0025
Shaspivirus_aranei	0.0025
Sitinavirus	0.0000
Sitinavirus_sichuanense	0.0000
Striwavirus	0.0000
Striwavirus_sanxiaense	0.0000
Xinspivirus	0.0025
Xinspivirus_xinzhouense	0.0025
