DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fraction seropositive
COLOR	#800026
COLOR_MIN	#ffffcc
COLOR_MAX	#800026
FIELD_LABELS	frac_seropositive
STRIP_WIDTH	60
MARGIN	15
SHOW_LABELS	1
LEGEND_TITLE	Fraction seropositive
LEGEND_SHAPES	1
LEGEND_COLORS	#ffffcc,#800026
LEGEND_LABELS	0,1
DATA
Paramyxoviridae	0.0680
Metaavulavirus	0.0000
Metaavulavirus_bangorense	0.0000
Metaavulavirus_calidris	0.0000
Metaavulavirus_delawarense	0.0000
Metaavulavirus_falklandense	0.0000
Metaavulavirus_galliense	0.0000
Metaavulavirus_hongkongense	0.0000
Metaavulavirus_japanense	0.0000
Metaavulavirus_kazakhstanense	0.0000
Metaavulavirus_kunitachiense	0.0000
Metaavulavirus_peixense	0.0000
Metaavulavirus_procarduelis	0.0000
Metaavulavirus_taiwanense	0.0000
Metaavulavirus_tennessense	0.0000
Metaavulavirus_yucaipaense	0.0000
Orthoavulavirus	0.0000
Orthoavulavirus_arenariae	0.0000
Orthoavulavirus_borisense	0.0000
Orthoavulavirus_italiense	0.0000
Orthoavulavirus_japanense	0.0000
Orthoavulavirus_javaense	0.0000
Orthoavulavirus_kopaiticense	0.0000
Orthoavulavirus_koreaense	0.0000
Orthoavulavirus_newyorkense	0.0000
Orthoavulavirus_oneillense	0.0000
Orthoavulavirus_taiwanense	0.0000
Orthoavulavirus_upoense	0.0000
Paraavulavirus	0.0000
Paraavulavirus_hongkongense	0.0000
Paraavulavirus_neophemae	0.0000
Paraavulavirus_wisconsinense	0.0000
Aquaparamyxovirus	0.0000
Aquaparamyxovirus_oregonense	0.0000
Aquaparamyxovirus_salmonis	0.0000
Ferlavirus	0.0000
Ferlavirus_reptilis	0.0000
Respirovirus	0.0000
Respirovirus_bovis	0.0000
Respirovirus_caprae	0.0000
Respirovirus_henanense	0.0000
Respirovirus_laryngotracheitidis	0.0000
Respirovirus_muris	0.0000
Respirovirus_pneumoniae	0.0000
Respirovirus_ratufae	0.0000
Respirovirus_rupicaprae	0.0000
Respirovirus_suis	0.0000
Cynoglossusvirus	0.0000
Cynoglossusvirus_cynoglossi	0.0000
Hoplichthysvirus	0.0000
Hoplichthysvirus_hoplichthysis	0.0000
Hippocavirus	0.0000
Hippocavirus_hippocampi	0.0000
Synodonvirus	0.0000
Synodonvirus_synodi	0.0000
Bovinavirus	0.0000
Bovinavirus_bovis	0.0000
Henipavirus	0.0176
Henipavirus_angavokelyense	0.0000
Henipavirus_cedarense	0.0000
Henipavirus_ghanaense	0.0050
Henipavirus_hendraense	0.0176
Henipavirus_nipahense	0.0151
Jeilongvirus	0.0000
Jeilongvirus_apodemi	0.0000
Jeilongvirus_beilongi	0.0000
Jeilongvirus_chaetodipodis	0.0000
Jeilongvirus_eothenomysis	0.0000
Jeilongvirus_gueckedouense	0.0000
Jeilongvirus_lishuiense	0.0000
Jeilongvirus_longquanense	0.0000
Jeilongvirus_lophuromysis	0.0000
Jeilongvirus_mabuense	0.0000
Jeilongvirus_mastomysis	0.0000
Jeilongvirus_meliandouense	0.0000
Jeilongvirus_merionis	0.0000
Jeilongvirus_microti	0.0000
Jeilongvirus_myodesis	0.0000
Jeilongvirus_neotomae	0.0000
Jeilongvirus_ninovense	0.0000
Jeilongvirus_niviventris	0.0000
Jeilongvirus_nzerekorense	0.0000
Jeilongvirus_ochotonae	0.0000
Jeilongvirus_oujiangense	0.0000
Jeilongvirus_pajuense	0.0000
Jeilongvirus_praomysis	0.0000
Jeilongvirus_queenslandense	0.0000
Jeilongvirus_ratti	0.0000
Jeilongvirus_rungweense	0.0000
Jeilongvirus_sichuanense	0.0000
Jeilongvirus_taichungense	0.0000
Jeilongvirus_tailamense	0.0000
Jeilongvirus_typhlomysis	0.0000
Jeilongvirus_winnikense	0.0000
Jeilongvirus_wufengense	0.0000
Jeilongvirus_yeoncheonense	0.0000
Morbillivirus	0.0680
Morbillivirus_canis	0.0000
Morbillivirus_caprinae	0.0000
Morbillivirus_ceti	0.0000
Morbillivirus_felis	0.0000
Morbillivirus_hominis	0.0680
Morbillivirus_myotis	0.0000
Morbillivirus_pecoris	0.0000
Morbillivirus_phocae	0.0000
Morbillivirus_phyllostomi	0.0000
Morbillivirus_suis	0.0000
Narmovirus	0.0000
Narmovirus_meliandouense	0.0000
Narmovirus_microti	0.0000
Narmovirus_mossmanense	0.0000
Narmovirus_myodesis	0.0000
Narmovirus_narivaense	0.0000
Narmovirus_ninovense	0.0000
Parahenipavirus	0.0000
Parahenipavirus_chodsigoae	0.0000
Parahenipavirus_crocidurae	0.0000
Parahenipavirus_daeryongense	0.0000
Parahenipavirus_gamakense	0.0000
Parahenipavirus_jingmenense	0.0000
Parahenipavirus_langyaense	0.0000
Parahenipavirus_meliandouense	0.0000
Parahenipavirus_mojiangense	0.0000
Parahenipavirus_soricis	0.0000
Parahenipavirus_wenzhouense	0.0000
Parahenipavirus_winnikense	0.0000
Parajeilongvirus	0.0000
Parajeilongvirus_brazilense	0.0000
Parajeilongvirus_carolliae	0.0000
Parajeilongvirus_comorosense	0.0000
Parajeilongvirus_desmodi	0.0000
Parajeilongvirus_diaemi	0.0000
Parajeilongvirus_erinacei	0.0000
Parajeilongvirus_hainanense	0.0000
Parajeilongvirus_hipposideri	0.0000
Parajeilongvirus_hubeiense	0.0000
Parajeilongvirus_jingmenense	0.0000
Parajeilongvirus_madagascarense	0.0000
Parajeilongvirus_miniopteri	0.0000
Parajeilongvirus_myotis	0.0000
Parajeilongvirus_pipistrelli	0.0000
Parajeilongvirus_plecoti	0.0000
Parajeilongvirus_rhinolophi	0.0000
Parajeilongvirus_wenzhouense	0.0000
Parajeilongvirus_zhejiangense	0.0000
Paramorbillivirus	0.0000
Paramorbillivirus_berylmysis	0.0000
Paramorbillivirus_gierlense	0.0000
Paramorbillivirus_niviventris	0.0000
Paramorbillivirus_pueyrredonense	0.0000
Salemvirus	0.0000
Salemvirus_salemense	0.0000
Tupaivirus	0.0000
Tupaivirus_tupaiae	0.0000
Orthorubulavirus	0.0050
Orthorubulavirus_hominis	0.0000
Orthorubulavirus_laryngotracheitidis	0.0000
Orthorubulavirus_mammalis	0.0000
Orthorubulavirus_mapueraense	0.0000
Orthorubulavirus_parotitidis	0.0050
Orthorubulavirus_rhinolophi	0.0000
Orthorubulavirus_simiae	0.0000
Orthorubulavirus_suis	0.0000
Pararubulavirus	0.0000
Pararubulavirus_accraense	0.0000
Pararubulavirus_achimotaense	0.0000
Pararubulavirus_cantonense	0.0000
Pararubulavirus_eidoli	0.0000
Pararubulavirus_guangdongense	0.0000
Pararubulavirus_herveyense	0.0000
Pararubulavirus_hongkongi	0.0000
Pararubulavirus_menangleense	0.0000
Pararubulavirus_sosugaense	0.0000
Pararubulavirus_teviotense	0.0000
Pararubulavirus_tiomanense	0.0000
Scoliodonvirus	0.0000
Scoliodonvirus_scoliodontis	0.0000
