DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fraction seropositive
COLOR	#800026
COLOR_MIN	#ffffcc
COLOR_MAX	#800026
FIELD_LABELS	frac_seropositive
STRIP_WIDTH	60
MARGIN	15
SHOW_LABELS	1
LEGEND_TITLE	Fraction seropositive
LEGEND_SHAPES	1
LEGEND_COLORS	#ffffcc,#800026
LEGEND_LABELS	0,1
DATA
Phenuiviridae	0.0655
Bandavirus	0.0101
Bandavirus_albatrossense	0.0000
Bandavirus_amblyommae	0.0000
Bandavirus_bhanjanagarense	0.0025
Bandavirus_dabieense	0.0000
Bandavirus_guertuense	0.0101
Bandavirus_heartlandense	0.0000
Bandavirus_kismaayoense	0.0025
Bandavirus_razdanense	0.0000
Bandavirus_zwieselense	0.0000
Beidivirus	0.0000
Beidivirus_drosophilae	0.0000
Beidivirus_ischnurae	0.0000
Beidivirus_liriomyzae	0.0000
Beidivirus_muscae	0.0000
Bocivirus	0.0000
Bocivirus_botrytidis	0.0000
Bocivirus_flakkebjergense	0.0000
Bocivirus_fusarii	0.0000
Bocivirus_gibberellae	0.0000
Bocivirus_sanyaense	0.0000
Bocivirus_trichodermae	0.0000
Bocivirus_viticulum	0.0000
Citricivirus	0.0000
Citricivirus_chongqinense	0.0000
Coguvirus	0.0000
Coguvirus_chinense	0.0000
Coguvirus_chrysanthae	0.0000
Coguvirus_citri	0.0000
Coguvirus_citrulli	0.0000
Coguvirus_eburi	0.0000
Coguvirus_henanense	0.0000
Coguvirus_rubi	0.0000
Coguvirus_yunnanense	0.0000
Entovirus	0.0000
Entovirus_entoleucae	0.0000
Entovirus_guangxiense	0.0000
Entovirus_jiangsuense	0.0000
Entovirus_neimengguense	0.0000
Entovirus_yunnanense	0.0000
Fusavirus	0.0000
Fusavirus_alternariae	0.0000
Fusavirus_sclerotiniae	0.0000
Fusavirus_yangzi	0.0000
Goukovirus	0.0000
Goukovirus_aphalarae	0.0000
Goukovirus_blattellae	0.0000
Goukovirus_ceraphri	0.0000
Goukovirus_culicis	0.0000
Goukovirus_cumutoense	0.0000
Goukovirus_gouleakoense	0.0000
Goukovirus_hodotermopsidis	0.0000
Goukovirus_reticulitermitidis	0.0000
Goukovirus_shahense	0.0000
Goukovirus_taiense	0.0000
Goukovirus_yichangense	0.0000
Horwuvirus	0.0000
Horwuvirus_fitzroyense	0.0000
Horwuvirus_solenopsidis	0.0000
Horwuvirus_wuhanense	0.0000
Hudivirus	0.0000
Hudivirus_muscae	0.0000
Hudovirus	0.0000
Hudovirus_culicis	0.0000
Hudovirus_lepidopteris	0.0000
Hudovirus_pectinophorae	0.0000
Ixovirus	0.0000
Ixovirus_antarcticaense	0.0000
Ixovirus_gakugsaense	0.0000
Ixovirus_garrapataense	0.0000
Ixovirus_heckscherense	0.0000
Ixovirus_ixodis	0.0000
Ixovirus_norvegiae	0.0000
Ixovirus_paradisense	0.0000
Ixovirus_yichunense	0.0000
Laulavirus	0.0000
Laulavirus_alphaviticulum	0.0000
Laulavirus_betaviticulum	0.0000
Laulavirus_cordycipitis	0.0000
Laulavirus_gammaviticulum	0.0000
Laulavirus_laurelense	0.0000
Laulavirus_panici	0.0000
Laulavirus_valsae	0.0000
Lentinuvirus	0.0000
Lentinuvirus_adlentinulae	0.0000
Lentinuvirus_alphaarmillariae	0.0000
Lentinuvirus_betaarmillariae	0.0000
Lentinuvirus_lentinulae	0.0000
Mechlorovirus	0.0000
Mechlorovirus_cucumeris	0.0000
Mechlorovirus_ramuense	0.0000
Mobuvirus	0.0000
Mobuvirus_alamedaense	0.0000
Mobuvirus_alphabafoussamense	0.0000
Mobuvirus_anophelae	0.0000
Mobuvirus_arnae	0.0000
Mobuvirus_betabafoussamense	0.0000
Mobuvirus_coquillettidiae	0.0000
Mobuvirus_cotesiae	0.0000
Mobuvirus_culicis	0.0000
Mobuvirus_isahayaense	0.0000
Mobuvirus_mothrae	0.0000
Mobuvirus_narangueense	0.0000
Mobuvirus_sanyaense	0.0000
Mobuvirus_shuangaoense	0.0000
Mobuvirus_stephanocirci	0.0000
Phasivirus	0.0000
Phasivirus_alamedaense	0.0000
Phasivirus_baduense	0.0000
Phasivirus_guadeloupeense	0.0000
Phasivirus_hubeiense	0.0000
Phasivirus_parryense	0.0000
Phasivirus_phasiense	0.0000
Phasivirus_siavongaense	0.0000
Phasivirus_wuhanense	0.0000
Phasivirus_wutaiense	0.0000
Phasivirus_zambiaense	0.0000
Phlebovirus	0.0529
Phlebovirus_adanaense	0.0000
Phlebovirus_aguacateense	0.0025
Phlebovirus_alcubeense	0.0000
Phlebovirus_alenquerense	0.0000
Phlebovirus_almendrasense	0.0000
Phlebovirus_alxaense	0.0000
Phlebovirus_ambeense	0.0529
Phlebovirus_anhangaense	0.0000
Phlebovirus_arumowotense	0.0000
Phlebovirus_baishanense	0.0000
Phlebovirus_bogoriaense	0.0050
Phlebovirus_buenaventuraense	0.0025
Phlebovirus_bujaruense	0.0000
Phlebovirus_cacaoense	0.0176
Phlebovirus_campanaense	0.0000
Phlebovirus_candiruense	0.0479
Phlebovirus_chagresense	0.0000
Phlebovirus_claroense	0.0000
Phlebovirus_cocleense	0.0000
Phlebovirus_corfouense	0.0000
Phlebovirus_dashliense	0.0076
Phlebovirus_duraniaense	0.0000
Phlebovirus_echarateense	0.0000
Phlebovirus_embossosense	0.0025
Phlebovirus_florisense	0.0000
Phlebovirus_gabekense	0.0000
Phlebovirus_gloriaense	0.0050
Phlebovirus_gordilense	0.0000
Phlebovirus_hediense	0.0000
Phlebovirus_icoaraciense	0.0000
Phlebovirus_itaitubaense	0.0000
Phlebovirus_itaporangaense	0.0000
Phlebovirus_ixcanalense	0.0000
Phlebovirus_karimabadense	0.0000
Phlebovirus_kiborgochense	0.0000
Phlebovirus_leticiaense	0.0025
Phlebovirus_limboense	0.0453
Phlebovirus_maldonadoense	0.0000
Phlebovirus_manidae	0.0000
Phlebovirus_massiliaense	0.0000
Phlebovirus_medjerdaense	0.0076
Phlebovirus_monagritaense	0.0076
Phlebovirus_mukawaense	0.0000
Phlebovirus_mungubaense	0.0000
Phlebovirus_napoliense	0.0000
Phlebovirus_niqueense	0.0000
Phlebovirus_ntepesense	0.0101
Phlebovirus_odrenisrouense	0.0000
Phlebovirus_oriximinaense	0.0000
Phlebovirus_pantanalense	0.0000
Phlebovirus_penablancaense	0.0000
Phlebovirus_penshurtense	0.0000
Phlebovirus_perkerraense	0.0000
Phlebovirus_puniqueense	0.0000
Phlebovirus_riftense	0.0000
Phlebovirus_riograndense	0.0227
Phlebovirus_salangaense	0.0000
Phlebovirus_salehabadense	0.0025
Phlebovirus_saloboense	0.0000
Phlebovirus_siciliaense	0.0000
Phlebovirus_taparaense	0.0000
Phlebovirus_tehranense	0.0000
Phlebovirus_ticoense	0.0000
Phlebovirus_toroense	0.0151
Phlebovirus_torosense	0.0000
Phlebovirus_toscanaense	0.0000
Phlebovirus_turunaense	0.0000
Phlebovirus_uriuranaense	0.0000
Phlebovirus_urucuriense	0.0000
Phlebovirus_wuxiangense	0.0000
Phlebovirus_zerdaliense	0.0000
Pidchovirus	0.0000
Pidchovirus_pidgei	0.0000
Pidchovirus_stethori	0.0000
Rubodvirus	0.0000
Rubodvirus_argentinaense	0.0000
Rubodvirus_armeniaense	0.0000
Rubodvirus_mali	0.0000
Rubodvirus_prosserense	0.0000
Tanzavirus	0.0000
Tanzavirus_daressalaamense	0.0000
Tenuivirus	0.0000
Tenuivirus_echinochloae	0.0000
Tenuivirus_eurotritici	0.0000
Tenuivirus_festucae	0.0000
Tenuivirus_kwazuluense	0.0000
Tenuivirus_oryzabrevis	0.0000
Tenuivirus_oryzaclavatae	0.0000
Tenuivirus_oryzalbae	0.0000
Tenuivirus_persotritici	0.0000
Tenuivirus_pontaense	0.0000
Tenuivirus_urochloae	0.0000
Tenuivirus_zeae	0.0000
Uukuvirus	0.0655
Uukuvirus_addermacentoris	0.0000
Uukuvirus_akirunoense	0.0000
Uukuvirus_anatoliaense	0.0000
Uukuvirus_boleense	0.0000
Uukuvirus_changpingense	0.0000
Uukuvirus_croatiaense	0.0000
Uukuvirus_dabieshanense	0.0025
Uukuvirus_dermacentoris	0.0000
Uukuvirus_grandarbaudense	0.0000
Uukuvirus_hoplandense	0.0000
Uukuvirus_huangpiense	0.0000
Uukuvirus_iftinense	0.0000
Uukuvirus_kabutoense	0.0000
Uukuvirus_kaisodiense	0.0000
Uukuvirus_lihanense	0.0000
Uukuvirus_macquariense	0.0000
Uukuvirus_mbalambalaense	0.0000
Uukuvirus_okutamaense	0.0000
Uukuvirus_qinghaiense	0.0000
Uukuvirus_rukutamaense	0.0000
Uukuvirus_schmidti	0.0000
Uukuvirus_shandongense	0.0000
Uukuvirus_silverwaterense	0.0000
Uukuvirus_tachengense	0.0025
Uukuvirus_tobagoense	0.0000
Uukuvirus_toyoense	0.0000
Uukuvirus_trinidadense	0.0000
Uukuvirus_tyulenyense	0.0000
Uukuvirus_uriae	0.0000
Uukuvirus_uukuniemiense	0.0655
Uukuvirus_xinjiangense	0.0000
Uukuvirus_yongjiaense	0.0000
Wenrivirus	0.0000
Wenrivirus_huanghaiense	0.0000
Wenrivirus_penaei	0.0000
